1024 1 thread done
elapsed time = 1.44 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 2.85 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 4.26 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 5.68 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 7.09 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 8.50 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 9.92 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 11.34 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 12.75 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 14.16 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 15.57 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 16.98 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 18.39 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 19.82 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 21.23 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 22.49 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 23.75 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 25.01 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 26.27 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 27.53 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 28.79 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 30.04 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 31.30 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 32.56 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 33.82 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 35.07 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 36.33 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 37.59 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 38.85 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 40.11 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 41.29 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 42.48 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 43.67 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 44.85 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 46.04 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 47.23 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 48.41 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 49.60 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 50.79 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 51.97 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 53.16 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 54.35 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 55.54 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 56.73 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 57.91 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 59.11 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 60.30 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 61.50 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 62.69 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 63.89 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 65.08 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 66.28 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 67.47 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 68.67 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 69.87 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 71.06 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 72.25 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 73.45 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 74.64 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 75.84 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 77.02 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 78.21 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 79.40 | seconds power is 4 | number of threads is 2 | block size is 64
