elapsed time = 3.36 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 6.19 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 9.01 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 11.83 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 14.64 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 17.45 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 20.26 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 23.08 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 25.90 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 28.71 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 31.52 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 34.33 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 37.14 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 39.97 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 42.77 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 45.27 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 47.78 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 50.29 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 52.80 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 55.32 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 57.83 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 60.38 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 62.89 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 65.39 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 67.91 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 70.43 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 72.93 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 75.44 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 77.95 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 80.46 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 82.83 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 85.21 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 87.58 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 89.94 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 92.31 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 94.68 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 97.05 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 99.42 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 101.79 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 104.17 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 106.54 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 108.90 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 111.28 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 113.65 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 116.01 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 118.40 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 120.78 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 123.17 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 125.56 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 127.94 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 130.33 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 132.72 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 135.10 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 137.49 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 139.87 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 142.26 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 144.65 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 147.04 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 149.42 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 151.81 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 154.18 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 156.55 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 158.92 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 161.29 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 163.66 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 166.03 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 168.40 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 170.77 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 173.14 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 175.51 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 177.91 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 180.31 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 182.68 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 185.05 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 187.42 | seconds power is 16 | number of threads is 1 | block size is 64
1024 1 thread done
elapsed time = 1.45 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 2.86 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 4.27 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 5.69 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 7.10 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 8.51 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 10.09 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 11.65 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 13.07 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 14.48 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 15.88 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 17.29 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 18.70 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 20.12 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 21.53 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 22.79 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 24.04 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 25.30 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 26.56 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 27.81 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 29.07 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 30.33 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 31.58 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 32.84 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 34.10 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 35.36 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 36.62 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 37.88 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 39.14 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 40.40 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 41.58 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 42.77 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 43.96 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 45.15 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 46.34 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 47.52 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 48.71 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 49.90 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 51.09 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 52.27 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 53.46 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 54.65 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 55.83 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 57.02 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 58.21 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 59.41 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 60.60 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 61.80 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 62.99 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 64.19 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 65.39 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 66.58 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 67.78 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 68.98 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 70.17 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 71.36 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 72.56 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 73.76 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 74.95 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 76.15 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 77.33 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 78.52 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 79.71 | seconds power is 4 | number of threads is 2 | block size is 64
elapsed time = 80.90 | seconds power is 5 | number of threads is 2 | block size is 64
elapsed time = 82.08 | seconds power is 6 | number of threads is 2 | block size is 64
elapsed time = 83.27 | seconds power is 7 | number of threads is 2 | block size is 64
elapsed time = 84.45 | seconds power is 8 | number of threads is 2 | block size is 64
elapsed time = 85.65 | seconds power is 9 | number of threads is 2 | block size is 64
elapsed time = 86.83 | seconds power is 10 | number of threads is 2 | block size is 64
elapsed time = 88.02 | seconds power is 11 | number of threads is 2 | block size is 64
elapsed time = 89.20 | seconds power is 12 | number of threads is 2 | block size is 64
elapsed time = 90.39 | seconds power is 13 | number of threads is 2 | block size is 64
elapsed time = 91.58 | seconds power is 14 | number of threads is 2 | block size is 64
elapsed time = 92.76 | seconds power is 15 | number of threads is 2 | block size is 64
elapsed time = 93.95 | seconds power is 16 | number of threads is 2 | block size is 64
1024 2 thread done
elapsed time = 0.77 | seconds power is 2 | number of threads is 4 | block size is 4
elapsed time = 1.50 | seconds power is 3 | number of threads is 4 | block size is 4
elapsed time = 2.24 | seconds power is 4 | number of threads is 4 | block size is 4
elapsed time = 2.97 | seconds power is 5 | number of threads is 4 | block size is 4
elapsed time = 3.70 | seconds power is 6 | number of threads is 4 | block size is 4
elapsed time = 4.44 | seconds power is 7 | number of threads is 4 | block size is 4
elapsed time = 5.18 | seconds power is 8 | number of threads is 4 | block size is 4
elapsed time = 5.91 | seconds power is 9 | number of threads is 4 | block size is 4
elapsed time = 6.64 | seconds power is 10 | number of threads is 4 | block size is 4
elapsed time = 7.37 | seconds power is 11 | number of threads is 4 | block size is 4
elapsed time = 8.09 | seconds power is 12 | number of threads is 4 | block size is 4
elapsed time = 8.82 | seconds power is 13 | number of threads is 4 | block size is 4
elapsed time = 9.54 | seconds power is 14 | number of threads is 4 | block size is 4
elapsed time = 10.26 | seconds power is 15 | number of threads is 4 | block size is 4
elapsed time = 10.99 | seconds power is 16 | number of threads is 4 | block size is 4
elapsed time = 11.63 | seconds power is 2 | number of threads is 4 | block size is 8
elapsed time = 12.27 | seconds power is 3 | number of threads is 4 | block size is 8
elapsed time = 12.92 | seconds power is 4 | number of threads is 4 | block size is 8
elapsed time = 13.56 | seconds power is 5 | number of threads is 4 | block size is 8
