elapsed time = 3.18 | seconds power is 2 | number of threads is 1
elapsed time = 6.31 | seconds power is 3 | number of threads is 1
elapsed time = 9.45 | seconds power is 4 | number of threads is 1
elapsed time = 12.58 | seconds power is 5 | number of threads is 1
elapsed time = 15.64 | seconds power is 6 | number of threads is 1
elapsed time = 18.69 | seconds power is 7 | number of threads is 1
elapsed time = 21.74 | seconds power is 8 | number of threads is 1
elapsed time = 24.79 | seconds power is 9 | number of threads is 1
elapsed time = 27.84 | seconds power is 10 | number of threads is 1
elapsed time = 30.90 | seconds power is 11 | number of threads is 1
elapsed time = 33.96 | seconds power is 12 | number of threads is 1
elapsed time = 37.03 | seconds power is 13 | number of threads is 1
elapsed time = 40.09 | seconds power is 14 | number of threads is 1
elapsed time = 43.16 | seconds power is 15 | number of threads is 1
elapsed time = 46.23 | seconds power is 16 | number of threads is 1
512 1 thread done
elapsed time = 1.60 | seconds power is 2 | number of threads is 2
elapsed time = 3.18 | seconds power is 3 | number of threads is 2
elapsed time = 4.74 | seconds power is 4 | number of threads is 2
elapsed time = 6.30 | seconds power is 5 | number of threads is 2
elapsed time = 7.86 | seconds power is 6 | number of threads is 2
elapsed time = 9.42 | seconds power is 7 | number of threads is 2
elapsed time = 10.99 | seconds power is 8 | number of threads is 2
elapsed time = 12.55 | seconds power is 9 | number of threads is 2
elapsed time = 14.11 | seconds power is 10 | number of threads is 2
elapsed time = 15.68 | seconds power is 11 | number of threads is 2
elapsed time = 17.37 | seconds power is 12 | number of threads is 2
elapsed time = 18.94 | seconds power is 13 | number of threads is 2
elapsed time = 20.50 | seconds power is 14 | number of threads is 2
elapsed time = 22.07 | seconds power is 15 | number of threads is 2
elapsed time = 23.65 | seconds power is 16 | number of threads is 2
512 2 thread done
elapsed time = 0.84 | seconds power is 2 | number of threads is 4
elapsed time = 1.64 | seconds power is 3 | number of threads is 4
elapsed time = 2.45 | seconds power is 4 | number of threads is 4
elapsed time = 3.25 | seconds power is 5 | number of threads is 4
elapsed time = 4.07 | seconds power is 6 | number of threads is 4
elapsed time = 4.87 | seconds power is 7 | number of threads is 4
elapsed time = 5.67 | seconds power is 8 | number of threads is 4
elapsed time = 6.47 | seconds power is 9 | number of threads is 4
elapsed time = 7.27 | seconds power is 10 | number of threads is 4
elapsed time = 8.07 | seconds power is 11 | number of threads is 4
elapsed time = 8.87 | seconds power is 12 | number of threads is 4
elapsed time = 9.67 | seconds power is 13 | number of threads is 4
elapsed time = 10.48 | seconds power is 14 | number of threads is 4
elapsed time = 11.28 | seconds power is 15 | number of threads is 4
elapsed time = 12.08 | seconds power is 16 | number of threads is 4
512 4 thread done
elapsed time = 0.58 | seconds power is 2 | number of threads is 6
elapsed time = 1.13 | seconds power is 3 | number of threads is 6
elapsed time = 1.69 | seconds power is 4 | number of threads is 6
elapsed time = 2.24 | seconds power is 5 | number of threads is 6
elapsed time = 2.80 | seconds power is 6 | number of threads is 6
elapsed time = 3.35 | seconds power is 7 | number of threads is 6
elapsed time = 3.91 | seconds power is 8 | number of threads is 6
elapsed time = 4.47 | seconds power is 9 | number of threads is 6
elapsed time = 5.02 | seconds power is 10 | number of threads is 6
