1024 4 thread done
elapsed time = 0.56 | seconds power is 2 | number of threads is 6
elapsed time = 1.10 | seconds power is 3 | number of threads is 6
elapsed time = 1.63 | seconds power is 4 | number of threads is 6
elapsed time = 2.16 | seconds power is 5 | number of threads is 6
elapsed time = 2.69 | seconds power is 6 | number of threads is 6
elapsed time = 3.22 | seconds power is 7 | number of threads is 6
elapsed time = 3.75 | seconds power is 8 | number of threads is 6
elapsed time = 4.29 | seconds power is 9 | number of threads is 6
elapsed time = 4.82 | seconds power is 10 | number of threads is 6
elapsed time = 5.35 | seconds power is 11 | number of threads is 6
elapsed time = 5.88 | seconds power is 12 | number of threads is 6
elapsed time = 6.41 | seconds power is 13 | number of threads is 6
elapsed time = 6.95 | seconds power is 14 | number of threads is 6
elapsed time = 7.48 | seconds power is 15 | number of threads is 6
elapsed time = 8.01 | seconds power is 16 | number of threads is 6
1024 6 thread done
elapsed time = 0.46 | seconds power is 2 | number of threads is 8
elapsed time = 0.90 | seconds power is 3 | number of threads is 8
elapsed time = 1.34 | seconds power is 4 | number of threads is 8
elapsed time = 1.78 | seconds power is 5 | number of threads is 8
elapsed time = 2.22 | seconds power is 6 | number of threads is 8
elapsed time = 2.66 | seconds power is 7 | number of threads is 8
elapsed time = 3.10 | seconds power is 8 | number of threads is 8
elapsed time = 3.54 | seconds power is 9 | number of threads is 8
elapsed time = 3.98 | seconds power is 10 | number of threads is 8
elapsed time = 4.42 | seconds power is 11 | number of threads is 8
elapsed time = 4.86 | seconds power is 12 | number of threads is 8
elapsed time = 5.30 | seconds power is 13 | number of threads is 8
elapsed time = 5.75 | seconds power is 14 | number of threads is 8
elapsed time = 6.19 | seconds power is 15 | number of threads is 8
elapsed time = 6.63 | seconds power is 16 | number of threads is 8
1024 8 thread done
elapsed time = 0.48 | seconds power is 2 | number of threads is 10
elapsed time = 0.98 | seconds power is 3 | number of threads is 10
elapsed time = 1.48 | seconds power is 4 | number of threads is 10
elapsed time = 1.99 | seconds power is 5 | number of threads is 10
elapsed time = 2.49 | seconds power is 6 | number of threads is 10
elapsed time = 2.96 | seconds power is 7 | number of threads is 10
elapsed time = 3.47 | seconds power is 8 | number of threads is 10
elapsed time = 3.97 | seconds power is 9 | number of threads is 10
elapsed time = 4.46 | seconds power is 10 | number of threads is 10
elapsed time = 4.97 | seconds power is 11 | number of threads is 10
elapsed time = 5.52 | seconds power is 12 | number of threads is 10
elapsed time = 6.02 | seconds power is 13 | number of threads is 10
elapsed time = 6.53 | seconds power is 14 | number of threads is 10
elapsed time = 7.01 | seconds power is 15 | number of threads is 10
elapsed time = 7.51 | seconds power is 16 | number of threads is 10
1024 10 thread done
elapsed time = 0.48 | seconds power is 2 | number of threads is 12
elapsed time = 0.95 | seconds power is 3 | number of threads is 12
elapsed time = 1.43 | seconds power is 4 | number of threads is 12
elapsed time = 1.89 | seconds power is 5 | number of threads is 12
elapsed time = 2.37 | seconds power is 6 | number of threads is 12
elapsed time = 2.84 | seconds power is 7 | number of threads is 12
elapsed time = 3.31 | seconds power is 8 | number of threads is 12
elapsed time = 3.78 | seconds power is 9 | number of threads is 12
elapsed time = 4.25 | seconds power is 10 | number of threads is 12
elapsed time = 4.72 | seconds power is 11 | number of threads is 12
elapsed time = 5.21 | seconds power is 12 | number of threads is 12
elapsed time = 5.70 | seconds power is 13 | number of threads is 12
elapsed time = 6.18 | seconds power is 14 | number of threads is 12
elapsed time = 6.66 | seconds power is 15 | number of threads is 12
elapsed time = 7.12 | seconds power is 16 | number of threads is 12
1024 12 thread done
elapsed time = 0.49 | seconds power is 2 | number of threads is 14
elapsed time = 0.96 | seconds power is 3 | number of threads is 14
elapsed time = 1.44 | seconds power is 4 | number of threads is 14
elapsed time = 1.92 | seconds power is 5 | number of threads is 14
elapsed time = 2.39 | seconds power is 6 | number of threads is 14
elapsed time = 2.87 | seconds power is 7 | number of threads is 14
elapsed time = 3.36 | seconds power is 8 | number of threads is 14
elapsed time = 3.82 | seconds power is 9 | number of threads is 14
elapsed time = 4.28 | seconds power is 10 | number of threads is 14
elapsed time = 4.75 | seconds power is 11 | number of threads is 14
elapsed time = 5.24 | seconds power is 12 | number of threads is 14
elapsed time = 5.72 | seconds power is 13 | number of threads is 14
elapsed time = 6.18 | seconds power is 14 | number of threads is 14
elapsed time = 6.66 | seconds power is 15 | number of threads is 14
elapsed time = 7.13 | seconds power is 16 | number of threads is 14
1024 14 thread done
elapsed time = 0.48 | seconds power is 2 | number of threads is 16
elapsed time = 0.94 | seconds power is 3 | number of threads is 16
elapsed time = 1.41 | seconds power is 4 | number of threads is 16
elapsed time = 1.87 | seconds power is 5 | number of threads is 16
elapsed time = 2.35 | seconds power is 6 | number of threads is 16
elapsed time = 2.81 | seconds power is 7 | number of threads is 16
elapsed time = 3.28 | seconds power is 8 | number of threads is 16
elapsed time = 3.74 | seconds power is 9 | number of threads is 16
elapsed time = 4.20 | seconds power is 10 | number of threads is 16
elapsed time = 4.66 | seconds power is 11 | number of threads is 16
elapsed time = 5.15 | seconds power is 12 | number of threads is 16
elapsed time = 5.60 | seconds power is 13 | number of threads is 16
elapsed time = 6.08 | seconds power is 14 | number of threads is 16
elapsed time = 6.54 | seconds power is 15 | number of threads is 16
elapsed time = 7.01 | seconds power is 16 | number of threads is 16
1024 16 thread done
