elapsed time = 3.12 | seconds power is 2 | number of threads is 1
elapsed time = 6.11 | seconds power is 3 | number of threads is 1
elapsed time = 9.09 | seconds power is 4 | number of threads is 1
elapsed time = 12.09 | seconds power is 5 | number of threads is 1
elapsed time = 15.08 | seconds power is 6 | number of threads is 1
elapsed time = 18.07 | seconds power is 7 | number of threads is 1
elapsed time = 21.06 | seconds power is 8 | number of threads is 1
elapsed time = 24.05 | seconds power is 9 | number of threads is 1
elapsed time = 27.04 | seconds power is 10 | number of threads is 1
elapsed time = 30.03 | seconds power is 11 | number of threads is 1
elapsed time = 33.02 | seconds power is 12 | number of threads is 1
elapsed time = 36.01 | seconds power is 13 | number of threads is 1
elapsed time = 39.00 | seconds power is 14 | number of threads is 1
elapsed time = 41.99 | seconds power is 15 | number of threads is 1
elapsed time = 44.97 | seconds power is 16 | number of threads is 1
1024 1 thread done
elapsed time = 1.53 | seconds power is 2 | number of threads is 2
elapsed time = 3.04 | seconds power is 3 | number of threads is 2
elapsed time = 4.54 | seconds power is 4 | number of threads is 2
elapsed time = 6.05 | seconds power is 5 | number of threads is 2
elapsed time = 7.56 | seconds power is 6 | number of threads is 2
elapsed time = 9.06 | seconds power is 7 | number of threads is 2
elapsed time = 10.57 | seconds power is 8 | number of threads is 2
elapsed time = 12.06 | seconds power is 9 | number of threads is 2
elapsed time = 13.55 | seconds power is 10 | number of threads is 2
elapsed time = 15.05 | seconds power is 11 | number of threads is 2
elapsed time = 16.54 | seconds power is 12 | number of threads is 2
elapsed time = 18.04 | seconds power is 13 | number of threads is 2
elapsed time = 19.54 | seconds power is 14 | number of threads is 2
elapsed time = 21.03 | seconds power is 15 | number of threads is 2
elapsed time = 22.53 | seconds power is 16 | number of threads is 2
1024 2 thread done
elapsed time = 0.81 | seconds power is 2 | number of threads is 4
elapsed time = 1.60 | seconds power is 3 | number of threads is 4
elapsed time = 2.37 | seconds power is 4 | number of threads is 4
elapsed time = 3.15 | seconds power is 5 | number of threads is 4
elapsed time = 3.92 | seconds power is 6 | number of threads is 4
elapsed time = 4.69 | seconds power is 7 | number of threads is 4
elapsed time = 5.46 | seconds power is 8 | number of threads is 4
elapsed time = 6.23 | seconds power is 9 | number of threads is 4
elapsed time = 7.00 | seconds power is 10 | number of threads is 4
elapsed time = 7.77 | seconds power is 11 | number of threads is 4
elapsed time = 8.54 | seconds power is 12 | number of threads is 4
elapsed time = 9.31 | seconds power is 13 | number of threads is 4
elapsed time = 10.08 | seconds power is 14 | number of threads is 4
elapsed time = 10.86 | seconds power is 15 | number of threads is 4
elapsed time = 11.63 | seconds power is 16 | number of threads is 4
1024 4 thread done
elapsed time = 0.57 | seconds power is 2 | number of threads is 6
elapsed time = 1.10 | seconds power is 3 | number of threads is 6
elapsed time = 1.63 | seconds power is 4 | number of threads is 6
elapsed time = 2.16 | seconds power is 5 | number of threads is 6
elapsed time = 2.69 | seconds power is 6 | number of threads is 6
elapsed time = 3.21 | seconds power is 7 | number of threads is 6
elapsed time = 3.73 | seconds power is 8 | number of threads is 6
elapsed time = 4.25 | seconds power is 9 | number of threads is 6
elapsed time = 4.78 | seconds power is 10 | number of threads is 6
elapsed time = 5.30 | seconds power is 11 | number of threads is 6
