elapsed time = 34.29 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 66.89 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 99.14 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 131.30 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 163.45 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 195.59 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 227.74 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 259.92 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 292.11 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 324.20 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 356.36 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 388.46 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 420.59 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 452.71 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 484.81 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 506.55 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 528.29 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 550.02 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 571.79 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 593.54 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 615.28 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 637.04 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 658.80 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 680.53 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 702.28 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 724.04 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 745.79 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 767.54 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 789.30 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 811.06 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 831.43 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 851.79 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 872.16 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 892.53 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 912.90 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 933.26 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 953.63 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 974.01 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 994.38 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 1014.75 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 1035.13 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 1055.50 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 1075.88 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 1096.25 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 1116.62 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 1136.96 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 1157.30 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 1177.64 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 1197.97 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 1218.31 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 1238.65 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 1259.00 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 1279.33 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 1299.67 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 1320.00 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 1340.35 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 1360.69 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 1381.02 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 1401.36 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 1421.69 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 1441.55 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 1461.41 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 1481.27 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 1501.13 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 1520.99 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 1540.86 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 1560.73 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 1580.59 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 1600.46 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 1620.33 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 1640.19 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 1660.05 | seconds power is 13 | number of threads is 1 | block size is 64
