elapsed time = 58.00 | seconds power is 2 | number of threads is 1
elapsed time = 113.97 | seconds power is 3 | number of threads is 1
elapsed time = 170.51 | seconds power is 4 | number of threads is 1
elapsed time = 226.55 | seconds power is 5 | number of threads is 1
elapsed time = 282.88 | seconds power is 6 | number of threads is 1
elapsed time = 340.18 | seconds power is 7 | number of threads is 1
elapsed time = 396.25 | seconds power is 8 | number of threads is 1
elapsed time = 452.89 | seconds power is 9 | number of threads is 1
elapsed time = 509.19 | seconds power is 10 | number of threads is 1
elapsed time = 565.78 | seconds power is 11 | number of threads is 1
elapsed time = 621.75 | seconds power is 12 | number of threads is 1
elapsed time = 678.38 | seconds power is 13 | number of threads is 1
elapsed time = 734.52 | seconds power is 14 | number of threads is 1
elapsed time = 790.76 | seconds power is 15 | number of threads is 1
elapsed time = 849.36 | seconds power is 16 | number of threads is 1
2048 1 thread done
elapsed time = 31.59 | seconds power is 2 | number of threads is 2
elapsed time = 62.74 | seconds power is 3 | number of threads is 2
elapsed time = 93.87 | seconds power is 4 | number of threads is 2
elapsed time = 125.03 | seconds power is 5 | number of threads is 2
elapsed time = 156.19 | seconds power is 6 | number of threads is 2
elapsed time = 187.35 | seconds power is 7 | number of threads is 2
elapsed time = 218.52 | seconds power is 8 | number of threads is 2
elapsed time = 249.67 | seconds power is 9 | number of threads is 2
elapsed time = 280.84 | seconds power is 10 | number of threads is 2
elapsed time = 312.02 | seconds power is 11 | number of threads is 2
elapsed time = 343.19 | seconds power is 12 | number of threads is 2
elapsed time = 374.38 | seconds power is 13 | number of threads is 2
elapsed time = 405.56 | seconds power is 14 | number of threads is 2
elapsed time = 436.72 | seconds power is 15 | number of threads is 2
elapsed time = 467.87 | seconds power is 16 | number of threads is 2
2048 2 thread done
elapsed time = 15.68 | seconds power is 2 | number of threads is 4
elapsed time = 31.34 | seconds power is 3 | number of threads is 4
elapsed time = 47.00 | seconds power is 4 | number of threads is 4
elapsed time = 62.63 | seconds power is 5 | number of threads is 4
elapsed time = 78.22 | seconds power is 6 | number of threads is 4
elapsed time = 93.80 | seconds power is 7 | number of threads is 4
elapsed time = 109.37 | seconds power is 8 | number of threads is 4
elapsed time = 124.92 | seconds power is 9 | number of threads is 4
elapsed time = 140.48 | seconds power is 10 | number of threads is 4
elapsed time = 156.03 | seconds power is 11 | number of threads is 4
elapsed time = 171.57 | seconds power is 12 | number of threads is 4
elapsed time = 187.13 | seconds power is 13 | number of threads is 4
elapsed time = 202.71 | seconds power is 14 | number of threads is 4
elapsed time = 218.29 | seconds power is 15 | number of threads is 4
elapsed time = 233.86 | seconds power is 16 | number of threads is 4
2048 4 thread done
elapsed time = 10.49 | seconds power is 2 | number of threads is 6
elapsed time = 21.23 | seconds power is 3 | number of threads is 6
elapsed time = 31.94 | seconds power is 4 | number of threads is 6
elapsed time = 42.72 | seconds power is 5 | number of threads is 6
elapsed time = 53.48 | seconds power is 6 | number of threads is 6
elapsed time = 64.19 | seconds power is 7 | number of threads is 6
elapsed time = 74.99 | seconds power is 8 | number of threads is 6
elapsed time = 85.76 | seconds power is 9 | number of threads is 6
elapsed time = 96.51 | seconds power is 10 | number of threads is 6
elapsed time = 107.26 | seconds power is 11 | number of threads is 6
elapsed time = 118.06 | seconds power is 12 | number of threads is 6
elapsed time = 128.82 | seconds power is 13 | number of threads is 6
elapsed time = 139.56 | seconds power is 14 | number of threads is 6
elapsed time = 150.33 | seconds power is 15 | number of threads is 6
elapsed time = 161.08 | seconds power is 16 | number of threads is 6
2048 6 thread done
elapsed time = 8.62 | seconds power is 2 | number of threads is 8
elapsed time = 17.22 | seconds power is 3 | number of threads is 8
elapsed time = 25.77 | seconds power is 4 | number of threads is 8
elapsed time = 34.29 | seconds power is 5 | number of threads is 8
elapsed time = 42.81 | seconds power is 6 | number of threads is 8
elapsed time = 51.34 | seconds power is 7 | number of threads is 8
elapsed time = 59.86 | seconds power is 8 | number of threads is 8
elapsed time = 68.38 | seconds power is 9 | number of threads is 8
