2048 1 thread done
elapsed time = 31.30 | seconds power is 2 | number of threads is 2
elapsed time = 62.50 | seconds power is 3 | number of threads is 2
elapsed time = 93.70 | seconds power is 4 | number of threads is 2
elapsed time = 125.26 | seconds power is 5 | number of threads is 2
elapsed time = 156.52 | seconds power is 6 | number of threads is 2
elapsed time = 187.78 | seconds power is 7 | number of threads is 2
elapsed time = 218.96 | seconds power is 8 | number of threads is 2
elapsed time = 250.13 | seconds power is 9 | number of threads is 2
elapsed time = 281.36 | seconds power is 10 | number of threads is 2
elapsed time = 312.63 | seconds power is 11 | number of threads is 2
elapsed time = 343.97 | seconds power is 12 | number of threads is 2
elapsed time = 375.16 | seconds power is 13 | number of threads is 2
elapsed time = 406.38 | seconds power is 14 | number of threads is 2
elapsed time = 437.97 | seconds power is 15 | number of threads is 2
elapsed time = 469.43 | seconds power is 16 | number of threads is 2
2048 2 thread done
elapsed time = 15.72 | seconds power is 2 | number of threads is 4
elapsed time = 31.42 | seconds power is 3 | number of threads is 4
elapsed time = 47.11 | seconds power is 4 | number of threads is 4
elapsed time = 62.84 | seconds power is 5 | number of threads is 4
elapsed time = 78.51 | seconds power is 6 | number of threads is 4
elapsed time = 94.16 | seconds power is 7 | number of threads is 4
elapsed time = 109.81 | seconds power is 8 | number of threads is 4
elapsed time = 125.44 | seconds power is 9 | number of threads is 4
elapsed time = 141.09 | seconds power is 10 | number of threads is 4
elapsed time = 156.73 | seconds power is 11 | number of threads is 4
elapsed time = 172.38 | seconds power is 12 | number of threads is 4
elapsed time = 188.02 | seconds power is 13 | number of threads is 4
elapsed time = 203.67 | seconds power is 14 | number of threads is 4
elapsed time = 219.31 | seconds power is 15 | number of threads is 4
elapsed time = 234.95 | seconds power is 16 | number of threads is 4
2048 4 thread done
elapsed time = 10.48 | seconds power is 2 | number of threads is 6
elapsed time = 20.95 | seconds power is 3 | number of threads is 6
elapsed time = 31.56 | seconds power is 4 | number of threads is 6
elapsed time = 42.15 | seconds power is 5 | number of threads is 6
elapsed time = 52.84 | seconds power is 6 | number of threads is 6
elapsed time = 63.49 | seconds power is 7 | number of threads is 6
elapsed time = 74.17 | seconds power is 8 | number of threads is 6
elapsed time = 84.83 | seconds power is 9 | number of threads is 6
elapsed time = 95.48 | seconds power is 10 | number of threads is 6
elapsed time = 106.12 | seconds power is 11 | number of threads is 6
elapsed time = 116.77 | seconds power is 12 | number of threads is 6
elapsed time = 127.44 | seconds power is 13 | number of threads is 6
elapsed time = 138.10 | seconds power is 14 | number of threads is 6
elapsed time = 148.75 | seconds power is 15 | number of threads is 6
elapsed time = 159.46 | seconds power is 16 | number of threads is 6
2048 6 thread done
elapsed time = 8.42 | seconds power is 2 | number of threads is 8
elapsed time = 17.21 | seconds power is 3 | number of threads is 8
elapsed time = 25.85 | seconds power is 4 | number of threads is 8
elapsed time = 34.51 | seconds power is 5 | number of threads is 8
elapsed time = 43.00 | seconds power is 6 | number of threads is 8
elapsed time = 51.60 | seconds power is 7 | number of threads is 8
elapsed time = 60.24 | seconds power is 8 | number of threads is 8
elapsed time = 68.99 | seconds power is 9 | number of threads is 8
elapsed time = 77.65 | seconds power is 10 | number of threads is 8
elapsed time = 86.20 | seconds power is 11 | number of threads is 8
elapsed time = 94.72 | seconds power is 12 | number of threads is 8
elapsed time = 103.16 | seconds power is 13 | number of threads is 8
elapsed time = 111.62 | seconds power is 14 | number of threads is 8
elapsed time = 120.04 | seconds power is 15 | number of threads is 8
elapsed time = 128.53 | seconds power is 16 | number of threads is 8
2048 8 thread done
elapsed time = 6.61 | seconds power is 2 | number of threads is 10
elapsed time = 13.51 | seconds power is 3 | number of threads is 10
elapsed time = 20.34 | seconds power is 4 | number of threads is 10
elapsed time = 27.04 | seconds power is 5 | number of threads is 10
elapsed time = 33.50 | seconds power is 6 | number of threads is 10
elapsed time = 39.91 | seconds power is 7 | number of threads is 10
elapsed time = 46.66 | seconds power is 8 | number of threads is 10
elapsed time = 53.15 | seconds power is 9 | number of threads is 10
elapsed time = 60.12 | seconds power is 10 | number of threads is 10
elapsed time = 66.63 | seconds power is 11 | number of threads is 10
elapsed time = 73.32 | seconds power is 12 | number of threads is 10
elapsed time = 80.06 | seconds power is 13 | number of threads is 10
elapsed time = 86.76 | seconds power is 14 | number of threads is 10
elapsed time = 93.09 | seconds power is 15 | number of threads is 10
elapsed time = 99.57 | seconds power is 16 | number of threads is 10
2048 10 thread done
elapsed time = 6.46 | seconds power is 2 | number of threads is 12
elapsed time = 12.82 | seconds power is 3 | number of threads is 12
elapsed time = 19.23 | seconds power is 4 | number of threads is 12
elapsed time = 25.64 | seconds power is 5 | number of threads is 12
elapsed time = 32.01 | seconds power is 6 | number of threads is 12
elapsed time = 38.37 | seconds power is 7 | number of threads is 12
elapsed time = 44.75 | seconds power is 8 | number of threads is 12
elapsed time = 51.14 | seconds power is 9 | number of threads is 12
elapsed time = 57.49 | seconds power is 10 | number of threads is 12
elapsed time = 63.79 | seconds power is 11 | number of threads is 12
elapsed time = 70.10 | seconds power is 12 | number of threads is 12
elapsed time = 76.57 | seconds power is 13 | number of threads is 12
elapsed time = 82.92 | seconds power is 14 | number of threads is 12
elapsed time = 89.20 | seconds power is 15 | number of threads is 12
elapsed time = 95.60 | seconds power is 16 | number of threads is 12
2048 12 thread done
elapsed time = 6.40 | seconds power is 2 | number of threads is 14
elapsed time = 12.43 | seconds power is 3 | number of threads is 14
elapsed time = 18.84 | seconds power is 4 | number of threads is 14
elapsed time = 24.38 | seconds power is 5 | number of threads is 14
elapsed time = 30.71 | seconds power is 6 | number of threads is 14
elapsed time = 36.67 | seconds power is 7 | number of threads is 14
elapsed time = 42.27 | seconds power is 8 | number of threads is 14
elapsed time = 48.60 | seconds power is 9 | number of threads is 14
elapsed time = 54.39 | seconds power is 10 | number of threads is 14
elapsed time = 60.11 | seconds power is 11 | number of threads is 14
elapsed time = 66.43 | seconds power is 12 | number of threads is 14
elapsed time = 72.51 | seconds power is 13 | number of threads is 14
elapsed time = 78.62 | seconds power is 14 | number of threads is 14
elapsed time = 84.60 | seconds power is 15 | number of threads is 14
elapsed time = 90.72 | seconds power is 16 | number of threads is 14
2048 14 thread done
elapsed time = 5.25 | seconds power is 2 | number of threads is 16
elapsed time = 11.23 | seconds power is 3 | number of threads is 16
elapsed time = 16.71 | seconds power is 4 | number of threads is 16
elapsed time = 22.22 | seconds power is 5 | number of threads is 16
elapsed time = 27.95 | seconds power is 6 | number of threads is 16
elapsed time = 33.12 | seconds power is 7 | number of threads is 16
elapsed time = 38.33 | seconds power is 8 | number of threads is 16
elapsed time = 43.71 | seconds power is 9 | number of threads is 16
elapsed time = 48.85 | seconds power is 10 | number of threads is 16
elapsed time = 54.05 | seconds power is 11 | number of threads is 16
elapsed time = 59.70 | seconds power is 12 | number of threads is 16
elapsed time = 64.76 | seconds power is 13 | number of threads is 16
elapsed time = 70.57 | seconds power is 14 | number of threads is 16
elapsed time = 75.90 | seconds power is 15 | number of threads is 16
elapsed time = 81.61 | seconds power is 16 | number of threads is 16
2048 16 thread done
