elapsed time = 65.74 | seconds power is 2 | number of threads is 1
elapsed time = 129.86 | seconds power is 3 | number of threads is 1
elapsed time = 195.03 | seconds power is 4 | number of threads is 1
elapsed time = 260.32 | seconds power is 5 | number of threads is 1
elapsed time = 326.02 | seconds power is 6 | number of threads is 1
elapsed time = 390.52 | seconds power is 7 | number of threads is 1
elapsed time = 455.52 | seconds power is 8 | number of threads is 1
elapsed time = 520.02 | seconds power is 9 | number of threads is 1
elapsed time = 583.35 | seconds power is 10 | number of threads is 1
elapsed time = 648.19 | seconds power is 11 | number of threads is 1
elapsed time = 713.48 | seconds power is 12 | number of threads is 1
elapsed time = 778.63 | seconds power is 13 | number of threads is 1
elapsed time = 843.71 | seconds power is 14 | number of threads is 1
elapsed time = 909.67 | seconds power is 15 | number of threads is 1
elapsed time = 975.46 | seconds power is 16 | number of threads is 1
2048 1 thread done
elapsed time = 35.13 | seconds power is 2 | number of threads is 2
elapsed time = 70.18 | seconds power is 3 | number of threads is 2
elapsed time = 105.29 | seconds power is 4 | number of threads is 2
elapsed time = 140.40 | seconds power is 5 | number of threads is 2
elapsed time = 175.48 | seconds power is 6 | number of threads is 2
elapsed time = 209.55 | seconds power is 7 | number of threads is 2
elapsed time = 245.06 | seconds power is 8 | number of threads is 2
elapsed time = 280.07 | seconds power is 9 | number of threads is 2
elapsed time = 315.08 | seconds power is 10 | number of threads is 2
elapsed time = 348.81 | seconds power is 11 | number of threads is 2
elapsed time = 383.98 | seconds power is 12 | number of threads is 2
elapsed time = 419.05 | seconds power is 13 | number of threads is 2
elapsed time = 454.11 | seconds power is 14 | number of threads is 2
elapsed time = 489.19 | seconds power is 15 | number of threads is 2
elapsed time = 524.24 | seconds power is 16 | number of threads is 2
2048 2 thread done
elapsed time = 17.60 | seconds power is 2 | number of threads is 4
elapsed time = 35.08 | seconds power is 3 | number of threads is 4
elapsed time = 52.62 | seconds power is 4 | number of threads is 4
elapsed time = 70.16 | seconds power is 5 | number of threads is 4
elapsed time = 87.69 | seconds power is 6 | number of threads is 4
elapsed time = 105.20 | seconds power is 7 | number of threads is 4
elapsed time = 123.13 | seconds power is 8 | number of threads is 4
elapsed time = 140.71 | seconds power is 9 | number of threads is 4
elapsed time = 158.30 | seconds power is 10 | number of threads is 4
elapsed time = 175.87 | seconds power is 11 | number of threads is 4
elapsed time = 193.42 | seconds power is 12 | number of threads is 4
elapsed time = 211.06 | seconds power is 13 | number of threads is 4
elapsed time = 228.87 | seconds power is 14 | number of threads is 4
elapsed time = 246.67 | seconds power is 15 | number of threads is 4
elapsed time = 264.34 | seconds power is 16 | number of threads is 4
2048 4 thread done
elapsed time = 10.53 | seconds power is 2 | number of threads is 6
elapsed time = 21.13 | seconds power is 3 | number of threads is 6
elapsed time = 31.84 | seconds power is 4 | number of threads is 6
elapsed time = 42.51 | seconds power is 5 | number of threads is 6
elapsed time = 53.23 | seconds power is 6 | number of threads is 6
elapsed time = 63.99 | seconds power is 7 | number of threads is 6
elapsed time = 74.64 | seconds power is 8 | number of threads is 6
elapsed time = 85.40 | seconds power is 9 | number of threads is 6
elapsed time = 96.09 | seconds power is 10 | number of threads is 6
elapsed time = 106.76 | seconds power is 11 | number of threads is 6
elapsed time = 117.54 | seconds power is 12 | number of threads is 6
elapsed time = 128.35 | seconds power is 13 | number of threads is 6
elapsed time = 139.20 | seconds power is 14 | number of threads is 6
elapsed time = 150.05 | seconds power is 15 | number of threads is 6
elapsed time = 160.84 | seconds power is 16 | number of threads is 6
2048 6 thread done
elapsed time = 8.58 | seconds power is 2 | number of threads is 8
elapsed time = 17.08 | seconds power is 3 | number of threads is 8
elapsed time = 25.59 | seconds power is 4 | number of threads is 8
elapsed time = 34.08 | seconds power is 5 | number of threads is 8
elapsed time = 42.48 | seconds power is 6 | number of threads is 8
elapsed time = 50.97 | seconds power is 7 | number of threads is 8
elapsed time = 59.46 | seconds power is 8 | number of threads is 8
elapsed time = 67.94 | seconds power is 9 | number of threads is 8
elapsed time = 76.43 | seconds power is 10 | number of threads is 8
elapsed time = 84.91 | seconds power is 11 | number of threads is 8
elapsed time = 93.40 | seconds power is 12 | number of threads is 8
elapsed time = 101.85 | seconds power is 13 | number of threads is 8
elapsed time = 110.32 | seconds power is 14 | number of threads is 8
elapsed time = 118.78 | seconds power is 15 | number of threads is 8
elapsed time = 127.24 | seconds power is 16 | number of threads is 8
2048 8 thread done
elapsed time = 6.83 | seconds power is 2 | number of threads is 10
elapsed time = 13.46 | seconds power is 3 | number of threads is 10
elapsed time = 20.21 | seconds power is 4 | number of threads is 10
elapsed time = 27.09 | seconds power is 5 | number of threads is 10
elapsed time = 33.77 | seconds power is 6 | number of threads is 10
elapsed time = 41.08 | seconds power is 7 | number of threads is 10
elapsed time = 47.92 | seconds power is 8 | number of threads is 10
elapsed time = 54.89 | seconds power is 9 | number of threads is 10
elapsed time = 61.69 | seconds power is 10 | number of threads is 10
elapsed time = 68.48 | seconds power is 11 | number of threads is 10
elapsed time = 75.66 | seconds power is 12 | number of threads is 10
elapsed time = 82.35 | seconds power is 13 | number of threads is 10
elapsed time = 89.56 | seconds power is 14 | number of threads is 10
elapsed time = 96.39 | seconds power is 15 | number of threads is 10
elapsed time = 103.16 | seconds power is 16 | number of threads is 10
2048 10 thread done
elapsed time = 6.44 | seconds power is 2 | number of threads is 12
elapsed time = 12.92 | seconds power is 3 | number of threads is 12
elapsed time = 19.40 | seconds power is 4 | number of threads is 12
elapsed time = 25.83 | seconds power is 5 | number of threads is 12
elapsed time = 32.22 | seconds power is 6 | number of threads is 12
elapsed time = 38.71 | seconds power is 7 | number of threads is 12
elapsed time = 45.27 | seconds power is 8 | number of threads is 12
elapsed time = 51.75 | seconds power is 9 | number of threads is 12
elapsed time = 58.20 | seconds power is 10 | number of threads is 12
elapsed time = 64.65 | seconds power is 11 | number of threads is 12
elapsed time = 71.15 | seconds power is 12 | number of threads is 12
elapsed time = 77.59 | seconds power is 13 | number of threads is 12
elapsed time = 84.01 | seconds power is 14 | number of threads is 12
elapsed time = 90.46 | seconds power is 15 | number of threads is 12
elapsed time = 96.93 | seconds power is 16 | number of threads is 12
2048 12 thread done
elapsed time = 6.38 | seconds power is 2 | number of threads is 14
elapsed time = 12.76 | seconds power is 3 | number of threads is 14
elapsed time = 18.93 | seconds power is 4 | number of threads is 14
elapsed time = 25.38 | seconds power is 5 | number of threads is 14
elapsed time = 31.05 | seconds power is 6 | number of threads is 14
elapsed time = 37.32 | seconds power is 7 | number of threads is 14
elapsed time = 43.06 | seconds power is 8 | number of threads is 14
elapsed time = 49.51 | seconds power is 9 | number of threads is 14
elapsed time = 55.35 | seconds power is 10 | number of threads is 14
elapsed time = 61.12 | seconds power is 11 | number of threads is 14
elapsed time = 66.98 | seconds power is 12 | number of threads is 14
elapsed time = 73.56 | seconds power is 13 | number of threads is 14
elapsed time = 79.67 | seconds power is 14 | number of threads is 14
elapsed time = 85.87 | seconds power is 15 | number of threads is 14
elapsed time = 91.58 | seconds power is 16 | number of threads is 14
2048 14 thread done
elapsed time = 5.63 | seconds power is 2 | number of threads is 16
elapsed time = 11.50 | seconds power is 3 | number of threads is 16
elapsed time = 17.06 | seconds power is 4 | number of threads is 16
elapsed time = 22.60 | seconds power is 5 | number of threads is 16
elapsed time = 28.38 | seconds power is 6 | number of threads is 16
elapsed time = 33.61 | seconds power is 7 | number of threads is 16
elapsed time = 39.23 | seconds power is 8 | number of threads is 16
elapsed time = 45.18 | seconds power is 9 | number of threads is 16
elapsed time = 50.43 | seconds power is 10 | number of threads is 16
elapsed time = 55.73 | seconds power is 11 | number of threads is 16
elapsed time = 61.38 | seconds power is 12 | number of threads is 16
elapsed time = 66.70 | seconds power is 13 | number of threads is 16
elapsed time = 72.01 | seconds power is 14 | number of threads is 16
elapsed time = 77.53 | seconds power is 15 | number of threads is 16
elapsed time = 82.80 | seconds power is 16 | number of threads is 16
2048 16 thread done
