elapsed time = 58.41 | seconds power is 2 | number of threads is 1
elapsed time = 116.33 | seconds power is 3 | number of threads is 1
elapsed time = 173.83 | seconds power is 4 | number of threads is 1
elapsed time = 231.68 | seconds power is 5 | number of threads is 1
elapsed time = 288.87 | seconds power is 6 | number of threads is 1
elapsed time = 346.58 | seconds power is 7 | number of threads is 1
elapsed time = 404.17 | seconds power is 8 | number of threads is 1
elapsed time = 461.75 | seconds power is 9 | number of threads is 1
elapsed time = 519.15 | seconds power is 10 | number of threads is 1
elapsed time = 576.68 | seconds power is 11 | number of threads is 1
elapsed time = 633.92 | seconds power is 12 | number of threads is 1
elapsed time = 691.31 | seconds power is 13 | number of threads is 1
elapsed time = 748.92 | seconds power is 14 | number of threads is 1
elapsed time = 806.74 | seconds power is 15 | number of threads is 1
elapsed time = 864.47 | seconds power is 16 | number of threads is 1
2048 1 thread done
elapsed time = 31.07 | seconds power is 2 | number of threads is 2
elapsed time = 62.09 | seconds power is 3 | number of threads is 2
elapsed time = 93.20 | seconds power is 4 | number of threads is 2
elapsed time = 124.30 | seconds power is 5 | number of threads is 2
elapsed time = 155.32 | seconds power is 6 | number of threads is 2
elapsed time = 186.36 | seconds power is 7 | number of threads is 2
elapsed time = 217.42 | seconds power is 8 | number of threads is 2
elapsed time = 248.51 | seconds power is 9 | number of threads is 2
elapsed time = 279.58 | seconds power is 10 | number of threads is 2
elapsed time = 310.62 | seconds power is 11 | number of threads is 2
elapsed time = 341.68 | seconds power is 12 | number of threads is 2
elapsed time = 372.72 | seconds power is 13 | number of threads is 2
elapsed time = 403.76 | seconds power is 14 | number of threads is 2
elapsed time = 434.80 | seconds power is 15 | number of threads is 2
elapsed time = 465.85 | seconds power is 16 | number of threads is 2
2048 2 thread done
elapsed time = 15.59 | seconds power is 2 | number of threads is 4
elapsed time = 31.26 | seconds power is 3 | number of threads is 4
elapsed time = 46.93 | seconds power is 4 | number of threads is 4
elapsed time = 62.52 | seconds power is 5 | number of threads is 4
elapsed time = 78.11 | seconds power is 6 | number of threads is 4
elapsed time = 93.71 | seconds power is 7 | number of threads is 4
elapsed time = 109.33 | seconds power is 8 | number of threads is 4
elapsed time = 124.94 | seconds power is 9 | number of threads is 4
elapsed time = 140.60 | seconds power is 10 | number of threads is 4
elapsed time = 156.26 | seconds power is 11 | number of threads is 4
elapsed time = 171.93 | seconds power is 12 | number of threads is 4
elapsed time = 187.56 | seconds power is 13 | number of threads is 4
elapsed time = 203.15 | seconds power is 14 | number of threads is 4
elapsed time = 218.75 | seconds power is 15 | number of threads is 4
elapsed time = 234.35 | seconds power is 16 | number of threads is 4
2048 4 thread done
elapsed time = 10.44 | seconds power is 2 | number of threads is 6
elapsed time = 21.03 | seconds power is 3 | number of threads is 6
elapsed time = 31.64 | seconds power is 4 | number of threads is 6
elapsed time = 42.32 | seconds power is 5 | number of threads is 6
elapsed time = 52.97 | seconds power is 6 | number of threads is 6
elapsed time = 63.62 | seconds power is 7 | number of threads is 6
elapsed time = 74.35 | seconds power is 8 | number of threads is 6
elapsed time = 85.02 | seconds power is 9 | number of threads is 6
elapsed time = 95.70 | seconds power is 10 | number of threads is 6
elapsed time = 106.36 | seconds power is 11 | number of threads is 6
