	elapsed time = 58.79 | seconds power is 2 | number of threads is 1
elapsed time = 118.00 | seconds power is 3 | number of threads is 1
elapsed time = 177.91 | seconds power is 4 | number of threads is 1
elapsed time = 236.66 | seconds power is 5 | number of threads is 1
elapsed time = 295.59 | seconds power is 6 | number of threads is 1
elapsed time = 354.43 | seconds power is 7 | number of threads is 1
elapsed time = 413.28 | seconds power is 8 | number of threads is 1
elapsed time = 472.10 | seconds power is 9 | number of threads is 1
elapsed time = 532.35 | seconds power is 10 | number of threads is 1
elapsed time = 591.11 | seconds power is 11 | number of threads is 1
elapsed time = 649.59 | seconds power is 12 | number of threads is 1
elapsed time = 708.12 | seconds power is 13 | number of threads is 1
elapsed time = 766.52 | seconds power is 14 | number of threads is 1
elapsed time = 825.76 | seconds power is 15 | number of threads is 1
elapsed time = 884.35 | seconds power is 16 | number of threads is 1
2048 1 thread done
elapsed time = 31.28 | seconds power is 2 | number of threads is 2
elapsed time = 62.49 | seconds power is 3 | number of threads is 2
elapsed time = 93.63 | seconds power is 4 | number of threads is 2
elapsed time = 124.78 | seconds power is 5 | number of threads is 2
elapsed time = 155.92 | seconds power is 6 | number of threads is 2
elapsed time = 187.36 | seconds power is 7 | number of threads is 2
elapsed time = 218.46 | seconds power is 8 | number of threads is 2
elapsed time = 249.60 | seconds power is 9 | number of threads is 2
elapsed time = 282.82 | seconds power is 10 | number of threads is 2
elapsed time = 315.90 | seconds power is 11 | number of threads is 2
elapsed time = 348.67 | seconds power is 12 | number of threads is 2
elapsed time = 381.72 | seconds power is 13 | number of threads is 2
elapsed time = 413.14 | seconds power is 14 | number of threads is 2
elapsed time = 444.40 | seconds power is 15 | number of threads is 2
elapsed time = 475.47 | seconds power is 16 | number of threads is 2
2048 2 thread done
elapsed time = 15.77 | seconds power is 2 | number of threads is 4
elapsed time = 31.47 | seconds power is 3 | number of threads is 4
elapsed time = 47.14 | seconds power is 4 | number of threads is 4
elapsed time = 62.82 | seconds power is 5 | number of threads is 4
elapsed time = 78.51 | seconds power is 6 | number of threads is 4
elapsed time = 94.20 | seconds power is 7 | number of threads is 4
elapsed time = 109.90 | seconds power is 8 | number of threads is 4
elapsed time = 125.58 | seconds power is 9 | number of threads is 4
elapsed time = 141.28 | seconds power is 10 | number of threads is 4
elapsed time = 156.96 | seconds power is 11 | number of threads is 4
elapsed time = 172.65 | seconds power is 12 | number of threads is 4
elapsed time = 188.33 | seconds power is 13 | number of threads is 4
elapsed time = 204.01 | seconds power is 14 | number of threads is 4
elapsed time = 219.72 | seconds power is 15 | number of threads is 4
elapsed time = 235.42 | seconds power is 16 | number of threads is 4
2048 4 thread done
elapsed time = 10.52 | seconds power is 2 | number of threads is 6
elapsed time = 21.51 | seconds power is 3 | number of threads is 6
elapsed time = 32.58 | seconds power is 4 | number of threads is 6
elapsed time = 43.27 | seconds power is 5 | number of threads is 6
elapsed time = 54.00 | seconds power is 6 | number of threads is 6
elapsed time = 64.66 | seconds power is 7 | number of threads is 6
elapsed time = 75.36 | seconds power is 8 | number of threads is 6
elapsed time = 86.13 | seconds power is 9 | number of threads is 6
elapsed time = 96.90 | seconds power is 10 | number of threads is 6
elapsed time = 107.65 | seconds power is 11 | number of threads is 6
elapsed time = 118.39 | seconds power is 12 | number of threads is 6
elapsed time = 129.09 | seconds power is 13 | number of threads is 6
elapsed time = 139.87 | seconds power is 14 | number of threads is 6
elapsed time = 150.60 | seconds power is 15 | number of threads is 6
elapsed time = 161.29 | seconds power is 16 | number of threads is 6
2048 6 thread done
elapsed time = 8.59 | seconds power is 2 | number of threads is 8
elapsed time = 17.15 | seconds power is 3 | number of threads is 8
elapsed time = 25.64 | seconds power is 4 | number of threads is 8
elapsed time = 34.14 | seconds power is 5 | number of threads is 8
elapsed time = 42.64 | seconds power is 6 | number of threads is 8
elapsed time = 51.14 | seconds power is 7 | number of threads is 8
elapsed time = 59.65 | seconds power is 8 | number of threads is 8
elapsed time = 68.15 | seconds power is 9 | number of threads is 8
elapsed time = 76.68 | seconds power is 10 | number of threads is 8
elapsed time = 85.19 | seconds power is 11 | number of threads is 8
elapsed time = 93.69 | seconds power is 12 | number of threads is 8
elapsed time = 102.21 | seconds power is 13 | number of threads is 8
elapsed time = 110.74 | seconds power is 14 | number of threads is 8
elapsed time = 119.25 | seconds power is 15 | number of threads is 8
elapsed time = 127.77 | seconds power is 16 | number of threads is 8
2048 8 thread done
elapsed time = 6.94 | seconds power is 2 | number of threads is 10
elapsed time = 13.58 | seconds power is 3 | number of threads is 10
elapsed time = 20.23 | seconds power is 4 | number of threads is 10
elapsed time = 26.85 | seconds power is 5 | number of threads is 10
elapsed time = 33.68 | seconds power is 6 | number of threads is 10
elapsed time = 40.48 | seconds power is 7 | number of threads is 10
elapsed time = 47.18 | seconds power is 8 | number of threads is 10
elapsed time = 53.73 | seconds power is 9 | number of threads is 10
elapsed time = 60.37 | seconds power is 10 | number of threads is 10
elapsed time = 66.79 | seconds power is 11 | number of threads is 10
elapsed time = 73.53 | seconds power is 12 | number of threads is 10
elapsed time = 80.23 | seconds power is 13 | number of threads is 10
elapsed time = 86.86 | seconds power is 14 | number of threads is 10
elapsed time = 93.76 | seconds power is 15 | number of threads is 10
elapsed time = 100.69 | seconds power is 16 | number of threads is 10
2048 10 thread done
elapsed time = 6.52 | seconds power is 2 | number of threads is 12
elapsed time = 13.03 | seconds power is 3 | number of threads is 12
elapsed time = 19.52 | seconds power is 4 | number of threads is 12
elapsed time = 26.00 | seconds power is 5 | number of threads is 12
elapsed time = 32.50 | seconds power is 6 | number of threads is 12
elapsed time = 38.94 | seconds power is 7 | number of threads is 12
elapsed time = 45.39 | seconds power is 8 | number of threads is 12
elapsed time = 51.90 | seconds power is 9 | number of threads is 12
elapsed time = 58.41 | seconds power is 10 | number of threads is 12
elapsed time = 64.89 | seconds power is 11 | number of threads is 12
elapsed time = 71.40 | seconds power is 12 | number of threads is 12
elapsed time = 77.93 | seconds power is 13 | number of threads is 12
elapsed time = 84.40 | seconds power is 14 | number of threads is 12
elapsed time = 90.88 | seconds power is 15 | number of threads is 12
elapsed time = 97.39 | seconds power is 16 | number of threads is 12
2048 12 thread done
elapsed time = 6.38 | seconds power is 2 | number of threads is 14
elapsed time = 12.51 | seconds power is 3 | number of threads is 14
elapsed time = 18.53 | seconds power is 4 | number of threads is 14
elapsed time = 24.63 | seconds power is 5 | number of threads is 14
elapsed time = 30.98 | seconds power is 6 | number of threads is 14
elapsed time = 37.52 | seconds power is 7 | number of threads is 14
elapsed time = 43.90 | seconds power is 8 | number of threads is 14
elapsed time = 49.76 | seconds power is 9 | number of threads is 14
elapsed time = 56.20 | seconds power is 10 | number of threads is 14
elapsed time = 62.12 | seconds power is 11 | number of threads is 14
elapsed time = 68.31 | seconds power is 12 | number of threads is 14
elapsed time = 74.42 | seconds power is 13 | number of threads is 14
elapsed time = 80.56 | seconds power is 14 | number of threads is 14
elapsed time = 86.88 | seconds power is 15 | number of threads is 14
elapsed time = 93.44 | seconds power is 16 | number of threads is 14
2048 14 thread done
elapsed time = 6.10 | seconds power is 2 | number of threads is 16
elapsed time = 11.72 | seconds power is 3 | number of threads is 16
elapsed time = 17.24 | seconds power is 4 | number of threads is 16
elapsed time = 22.86 | seconds power is 5 | number of threads is 16
elapsed time = 28.47 | seconds power is 6 | number of threads is 16
elapsed time = 34.02 | seconds power is 7 | number of threads is 16
elapsed time = 40.01 | seconds power is 8 | number of threads is 16
elapsed time = 45.88 | seconds power is 9 | number of threads is 16
elapsed time = 51.47 | seconds power is 10 | number of threads is 16
elapsed time = 57.15 | seconds power is 11 | number of threads is 16
elapsed time = 62.71 | seconds power is 12 | number of threads is 16
elapsed time = 68.75 | seconds power is 13 | number of threads is 16
elapsed time = 74.26 | seconds power is 14 | number of threads is 16
elapsed time = 79.81 | seconds power is 15 | number of threads is 16
elapsed time = 85.68 | seconds power is 16 | number of threads is 16
2048 16 thread done
