elapsed time = 66.93 | seconds power is 2 | number of threads is 1
elapsed time = 133.45 | seconds power is 3 | number of threads is 1
elapsed time = 199.75 | seconds power is 4 | number of threads is 1
elapsed time = 266.20 | seconds power is 5 | number of threads is 1
elapsed time = 333.04 | seconds power is 6 | number of threads is 1
elapsed time = 398.81 | seconds power is 7 | number of threads is 1
elapsed time = 465.01 | seconds power is 8 | number of threads is 1
elapsed time = 531.07 | seconds power is 9 | number of threads is 1
elapsed time = 597.37 | seconds power is 10 | number of threads is 1
elapsed time = 663.53 | seconds power is 11 | number of threads is 1
elapsed time = 729.96 | seconds power is 12 | number of threads is 1
elapsed time = 796.04 | seconds power is 13 | number of threads is 1
elapsed time = 861.71 | seconds power is 14 | number of threads is 1
elapsed time = 927.72 | seconds power is 15 | number of threads is 1
elapsed time = 993.67 | seconds power is 16 | number of threads is 1
2048 1 thread done
elapsed time = 31.08 | seconds power is 2 | number of threads is 2
elapsed time = 62.17 | seconds power is 3 | number of threads is 2
elapsed time = 93.26 | seconds power is 4 | number of threads is 2
elapsed time = 124.40 | seconds power is 5 | number of threads is 2
elapsed time = 155.52 | seconds power is 6 | number of threads is 2
elapsed time = 186.64 | seconds power is 7 | number of threads is 2
elapsed time = 217.79 | seconds power is 8 | number of threads is 2
elapsed time = 248.94 | seconds power is 9 | number of threads is 2
elapsed time = 280.60 | seconds power is 10 | number of threads is 2
elapsed time = 311.71 | seconds power is 11 | number of threads is 2
elapsed time = 343.54 | seconds power is 12 | number of threads is 2
elapsed time = 374.69 | seconds power is 13 | number of threads is 2
elapsed time = 406.15 | seconds power is 14 | number of threads is 2
elapsed time = 437.26 | seconds power is 15 | number of threads is 2
elapsed time = 468.38 | seconds power is 16 | number of threads is 2
2048 2 thread done
elapsed time = 15.73 | seconds power is 2 | number of threads is 4
elapsed time = 31.41 | seconds power is 3 | number of threads is 4
elapsed time = 47.10 | seconds power is 4 | number of threads is 4
elapsed time = 62.78 | seconds power is 5 | number of threads is 4
elapsed time = 78.45 | seconds power is 6 | number of threads is 4
elapsed time = 94.14 | seconds power is 7 | number of threads is 4
elapsed time = 109.83 | seconds power is 8 | number of threads is 4
elapsed time = 125.47 | seconds power is 9 | number of threads is 4
elapsed time = 141.12 | seconds power is 10 | number of threads is 4
elapsed time = 156.78 | seconds power is 11 | number of threads is 4
elapsed time = 172.46 | seconds power is 12 | number of threads is 4
elapsed time = 188.10 | seconds power is 13 | number of threads is 4
elapsed time = 203.77 | seconds power is 14 | number of threads is 4
elapsed time = 219.75 | seconds power is 15 | number of threads is 4
elapsed time = 235.58 | seconds power is 16 | number of threads is 4
2048 4 thread done
elapsed time = 10.85 | seconds power is 2 | number of threads is 6
elapsed time = 22.00 | seconds power is 3 | number of threads is 6
elapsed time = 33.06 | seconds power is 4 | number of threads is 6
elapsed time = 43.84 | seconds power is 5 | number of threads is 6
elapsed time = 54.61 | seconds power is 6 | number of threads is 6
elapsed time = 65.38 | seconds power is 7 | number of threads is 6
elapsed time = 76.14 | seconds power is 8 | number of threads is 6
elapsed time = 86.88 | seconds power is 9 | number of threads is 6
elapsed time = 97.60 | seconds power is 10 | number of threads is 6
elapsed time = 108.32 | seconds power is 11 | number of threads is 6
elapsed time = 119.10 | seconds power is 12 | number of threads is 6
