elapsed time = 0.38 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 0.73 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 1.08 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 1.42 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 1.77 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 2.11 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 2.46 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 2.80 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 3.15 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 3.49 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 3.84 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 4.18 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 4.53 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 4.88 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 5.22 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 5.53 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 5.84 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 6.16 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 6.47 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 6.78 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 7.10 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 7.41 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 7.72 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 8.03 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 8.34 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 8.66 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 8.97 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 9.28 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 9.60 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 9.91 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 10.21 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 10.50 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 10.80 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 11.10 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 11.39 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 11.69 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 11.98 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 12.28 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 12.57 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 12.87 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 13.16 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 13.46 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 13.75 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 14.05 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 14.35 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 14.64 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 14.94 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 15.24 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 15.54 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 15.83 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 16.13 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 16.43 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 16.72 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 17.02 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 17.32 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 17.62 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 17.92 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 18.21 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 18.51 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 18.81 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 19.10 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 19.38 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 19.67 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 19.96 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 20.24 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 20.53 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 20.82 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 21.11 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 21.40 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 21.68 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 21.97 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 22.26 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 22.54 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 22.83 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 23.12 | seconds power is 16 | number of threads is 1 | block size is 64
512 1 thread done
elapsed time = 0.18 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 0.36 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 0.53 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 0.71 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 0.88 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 1.05 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 1.23 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 1.40 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 1.57 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 1.75 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 1.92 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 2.10 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 2.27 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 2.45 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 2.62 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 2.78 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 2.94 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 3.09 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 3.26 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 3.42 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 3.57 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 3.73 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 3.89 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 4.04 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 4.20 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 4.36 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 4.52 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 4.67 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 4.83 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 4.99 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 5.14 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 5.29 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 5.43 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 5.58 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 5.73 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 5.88 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 6.03 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 6.18 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 6.33 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 6.47 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 6.62 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 6.77 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 6.92 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 7.07 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 7.22 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 7.36 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 7.51 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 7.66 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 7.81 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 7.96 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 8.11 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 8.26 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 8.41 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 8.56 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 8.71 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 8.86 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 9.00 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 9.15 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 9.30 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 9.45 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 9.60 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 9.74 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 9.88 | seconds power is 4 | number of threads is 2 | block size is 64
elapsed time = 10.03 | seconds power is 5 | number of threads is 2 | block size is 64
elapsed time = 10.17 | seconds power is 6 | number of threads is 2 | block size is 64
elapsed time = 10.32 | seconds power is 7 | number of threads is 2 | block size is 64
elapsed time = 10.46 | seconds power is 8 | number of threads is 2 | block size is 64
elapsed time = 10.61 | seconds power is 9 | number of threads is 2 | block size is 64
elapsed time = 10.75 | seconds power is 10 | number of threads is 2 | block size is 64
elapsed time = 10.89 | seconds power is 11 | number of threads is 2 | block size is 64
elapsed time = 11.04 | seconds power is 12 | number of threads is 2 | block size is 64
elapsed time = 11.18 | seconds power is 13 | number of threads is 2 | block size is 64
elapsed time = 11.33 | seconds power is 14 | number of threads is 2 | block size is 64
elapsed time = 11.47 | seconds power is 15 | number of threads is 2 | block size is 64
elapsed time = 11.61 | seconds power is 16 | number of threads is 2 | block size is 64
512 2 thread done
elapsed time = 0.10 | seconds power is 2 | number of threads is 4 | block size is 4
elapsed time = 0.19 | seconds power is 3 | number of threads is 4 | block size is 4
elapsed time = 0.28 | seconds power is 4 | number of threads is 4 | block size is 4
elapsed time = 0.37 | seconds power is 5 | number of threads is 4 | block size is 4
elapsed time = 0.46 | seconds power is 6 | number of threads is 4 | block size is 4
elapsed time = 0.55 | seconds power is 7 | number of threads is 4 | block size is 4
elapsed time = 0.64 | seconds power is 8 | number of threads is 4 | block size is 4
elapsed time = 0.73 | seconds power is 9 | number of threads is 4 | block size is 4
elapsed time = 0.82 | seconds power is 10 | number of threads is 4 | block size is 4
elapsed time = 0.91 | seconds power is 11 | number of threads is 4 | block size is 4
elapsed time = 1.00 | seconds power is 12 | number of threads is 4 | block size is 4
elapsed time = 1.09 | seconds power is 13 | number of threads is 4 | block size is 4
elapsed time = 1.18 | seconds power is 14 | number of threads is 4 | block size is 4
elapsed time = 1.27 | seconds power is 15 | number of threads is 4 | block size is 4
elapsed time = 1.36 | seconds power is 16 | number of threads is 4 | block size is 4
elapsed time = 1.44 | seconds power is 2 | number of threads is 4 | block size is 8
elapsed time = 1.52 | seconds power is 3 | number of threads is 4 | block size is 8
elapsed time = 1.60 | seconds power is 4 | number of threads is 4 | block size is 8
