elapsed time = 0.35 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 0.70 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 1.04 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 1.39 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 1.73 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 2.08 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 2.42 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 2.76 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 3.11 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 3.45 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 3.80 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 4.14 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 4.49 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 4.83 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 5.18 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 5.49 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 5.80 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 6.12 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 6.43 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 6.74 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 7.05 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 7.37 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 7.68 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 7.99 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 8.30 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 8.62 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 8.93 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 9.24 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 9.56 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 9.87 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 10.16 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 10.46 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 10.76 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 11.05 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 11.35 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 11.64 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 11.94 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 12.24 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 12.53 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 12.83 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 13.12 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 13.42 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 13.71 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 14.01 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 14.31 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 14.60 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 14.90 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 15.20 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 15.49 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 15.79 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 16.09 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 16.38 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 16.68 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 16.98 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 17.28 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 17.58 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 17.87 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 18.17 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 18.47 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 18.77 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 19.05 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 19.34 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 19.63 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 19.91 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 20.20 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 20.49 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 20.77 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 21.06 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 21.35 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 21.64 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 21.92 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 22.21 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 22.50 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 22.79 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 23.07 | seconds power is 16 | number of threads is 1 | block size is 64
512 1 thread done
elapsed time = 0.18 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 0.36 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 0.54 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 0.71 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 0.89 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 1.07 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 1.24 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 1.42 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 1.59 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 1.77 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 1.95 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 2.12 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 2.30 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 2.48 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 2.65 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 2.81 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 2.97 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 3.12 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 3.28 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 3.44 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 3.60 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 3.75 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 3.91 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 4.07 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 4.23 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 4.38 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 4.54 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 4.70 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 4.86 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 5.01 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 5.16 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 5.31 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 5.46 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 5.61 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 5.76 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 5.90 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 6.05 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 6.20 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 6.35 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 6.50 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 6.65 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 6.80 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 6.94 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 7.09 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 7.24 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 7.39 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 7.54 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 7.69 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 7.84 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 7.99 | seconds power is 6 | number of threads is 2 | block size is 32
