elapsed time = 0.37 | seconds power is 2 | number of threads is 1
elapsed time = 0.72 | seconds power is 3 | number of threads is 1
elapsed time = 1.07 | seconds power is 4 | number of threads is 1
elapsed time = 1.42 | seconds power is 5 | number of threads is 1
elapsed time = 1.78 | seconds power is 6 | number of threads is 1
elapsed time = 2.14 | seconds power is 7 | number of threads is 1
elapsed time = 2.50 | seconds power is 8 | number of threads is 1
elapsed time = 2.88 | seconds power is 9 | number of threads is 1
elapsed time = 3.23 | seconds power is 10 | number of threads is 1
elapsed time = 3.59 | seconds power is 11 | number of threads is 1
elapsed time = 3.94 | seconds power is 12 | number of threads is 1
elapsed time = 4.29 | seconds power is 13 | number of threads is 1
elapsed time = 4.64 | seconds power is 14 | number of threads is 1
elapsed time = 4.99 | seconds power is 15 | number of threads is 1
elapsed time = 5.34 | seconds power is 16 | number of threads is 1
512 1 thread done
elapsed time = 0.19 | seconds power is 2 | number of threads is 2
elapsed time = 0.36 | seconds power is 3 | number of threads is 2
elapsed time = 0.54 | seconds power is 4 | number of threads is 2
elapsed time = 0.72 | seconds power is 5 | number of threads is 2
elapsed time = 0.90 | seconds power is 6 | number of threads is 2
elapsed time = 1.07 | seconds power is 7 | number of threads is 2
elapsed time = 1.25 | seconds power is 8 | number of threads is 2
elapsed time = 1.43 | seconds power is 9 | number of threads is 2
elapsed time = 1.60 | seconds power is 10 | number of threads is 2
elapsed time = 1.78 | seconds power is 11 | number of threads is 2
elapsed time = 1.95 | seconds power is 12 | number of threads is 2
elapsed time = 2.13 | seconds power is 13 | number of threads is 2
elapsed time = 2.31 | seconds power is 14 | number of threads is 2
elapsed time = 2.48 | seconds power is 15 | number of threads is 2
elapsed time = 2.66 | seconds power is 16 | number of threads is 2
512 2 thread done
elapsed time = 0.10 | seconds power is 2 | number of threads is 4
elapsed time = 0.19 | seconds power is 3 | number of threads is 4
elapsed time = 0.28 | seconds power is 4 | number of threads is 4
elapsed time = 0.37 | seconds power is 5 | number of threads is 4
elapsed time = 0.46 | seconds power is 6 | number of threads is 4
elapsed time = 0.55 | seconds power is 7 | number of threads is 4
elapsed time = 0.64 | seconds power is 8 | number of threads is 4
elapsed time = 0.74 | seconds power is 9 | number of threads is 4
elapsed time = 0.83 | seconds power is 10 | number of threads is 4
elapsed time = 0.92 | seconds power is 11 | number of threads is 4
elapsed time = 1.01 | seconds power is 12 | number of threads is 4
elapsed time = 1.10 | seconds power is 13 | number of threads is 4
elapsed time = 1.19 | seconds power is 14 | number of threads is 4
elapsed time = 1.28 | seconds power is 15 | number of threads is 4
elapsed time = 1.37 | seconds power is 16 | number of threads is 4
512 4 thread done
elapsed time = 0.07 | seconds power is 2 | number of threads is 6
elapsed time = 0.14 | seconds power is 3 | number of threads is 6
elapsed time = 0.20 | seconds power is 4 | number of threads is 6
elapsed time = 0.27 | seconds power is 5 | number of threads is 6
elapsed time = 0.33 | seconds power is 6 | number of threads is 6
elapsed time = 0.39 | seconds power is 7 | number of threads is 6
elapsed time = 0.45 | seconds power is 8 | number of threads is 6
elapsed time = 0.52 | seconds power is 9 | number of threads is 6
elapsed time = 0.58 | seconds power is 10 | number of threads is 6
elapsed time = 0.64 | seconds power is 11 | number of threads is 6
elapsed time = 0.70 | seconds power is 12 | number of threads is 6
elapsed time = 0.76 | seconds power is 13 | number of threads is 6
elapsed time = 0.83 | seconds power is 14 | number of threads is 6
elapsed time = 0.89 | seconds power is 15 | number of threads is 6
elapsed time = 0.95 | seconds power is 16 | number of threads is 6
512 6 thread done
elapsed time = 0.06 | seconds power is 2 | number of threads is 8
elapsed time = 0.11 | seconds power is 3 | number of threads is 8
elapsed time = 0.16 | seconds power is 4 | number of threads is 8
elapsed time = 0.21 | seconds power is 5 | number of threads is 8
elapsed time = 0.26 | seconds power is 6 | number of threads is 8
elapsed time = 0.31 | seconds power is 7 | number of threads is 8
elapsed time = 0.36 | seconds power is 8 | number of threads is 8
elapsed time = 0.41 | seconds power is 9 | number of threads is 8
elapsed time = 0.46 | seconds power is 10 | number of threads is 8
elapsed time = 0.52 | seconds power is 11 | number of threads is 8
elapsed time = 0.57 | seconds power is 12 | number of threads is 8
elapsed time = 0.62 | seconds power is 13 | number of threads is 8
elapsed time = 0.67 | seconds power is 14 | number of threads is 8
elapsed time = 0.72 | seconds power is 15 | number of threads is 8
elapsed time = 0.77 | seconds power is 16 | number of threads is 8
512 8 thread done
elapsed time = 0.07 | seconds power is 2 | number of threads is 10
elapsed time = 0.13 | seconds power is 3 | number of threads is 10
elapsed time = 0.20 | seconds power is 4 | number of threads is 10
elapsed time = 0.26 | seconds power is 5 | number of threads is 10
elapsed time = 0.32 | seconds power is 6 | number of threads is 10
elapsed time = 0.39 | seconds power is 7 | number of threads is 10
elapsed time = 0.45 | seconds power is 8 | number of threads is 10
elapsed time = 0.51 | seconds power is 9 | number of threads is 10
elapsed time = 0.58 | seconds power is 10 | number of threads is 10
elapsed time = 0.64 | seconds power is 11 | number of threads is 10
elapsed time = 0.71 | seconds power is 12 | number of threads is 10
elapsed time = 0.77 | seconds power is 13 | number of threads is 10
elapsed time = 0.83 | seconds power is 14 | number of threads is 10
elapsed time = 0.89 | seconds power is 15 | number of threads is 10
elapsed time = 0.96 | seconds power is 16 | number of threads is 10
512 10 thread done
elapsed time = 0.06 | seconds power is 2 | number of threads is 12
elapsed time = 0.11 | seconds power is 3 | number of threads is 12
elapsed time = 0.17 | seconds power is 4 | number of threads is 12
elapsed time = 0.22 | seconds power is 5 | number of threads is 12
elapsed time = 0.28 | seconds power is 6 | number of threads is 12
elapsed time = 0.33 | seconds power is 7 | number of threads is 12
elapsed time = 0.39 | seconds power is 8 | number of threads is 12
elapsed time = 0.44 | seconds power is 9 | number of threads is 12
elapsed time = 0.49 | seconds power is 10 | number of threads is 12
elapsed time = 0.55 | seconds power is 11 | number of threads is 12
elapsed time = 0.61 | seconds power is 12 | number of threads is 12
elapsed time = 0.66 | seconds power is 13 | number of threads is 12
elapsed time = 0.72 | seconds power is 14 | number of threads is 12
elapsed time = 0.78 | seconds power is 15 | number of threads is 12
elapsed time = 0.83 | seconds power is 16 | number of threads is 12
512 12 thread done
elapsed time = 0.08 | seconds power is 2 | number of threads is 14
elapsed time = 0.13 | seconds power is 3 | number of threads is 14
elapsed time = 0.19 | seconds power is 4 | number of threads is 14
elapsed time = 0.25 | seconds power is 5 | number of threads is 14
elapsed time = 0.32 | seconds power is 6 | number of threads is 14
elapsed time = 0.37 | seconds power is 7 | number of threads is 14
elapsed time = 0.43 | seconds power is 8 | number of threads is 14
elapsed time = 0.48 | seconds power is 9 | number of threads is 14
elapsed time = 0.53 | seconds power is 10 | number of threads is 14
elapsed time = 0.59 | seconds power is 11 | number of threads is 14
elapsed time = 0.64 | seconds power is 12 | number of threads is 14
elapsed time = 0.70 | seconds power is 13 | number of threads is 14
elapsed time = 0.75 | seconds power is 14 | number of threads is 14
elapsed time = 0.81 | seconds power is 15 | number of threads is 14
elapsed time = 0.86 | seconds power is 16 | number of threads is 14
512 14 thread done
elapsed time = 0.07 | seconds power is 2 | number of threads is 16
elapsed time = 0.12 | seconds power is 3 | number of threads is 16
elapsed time = 0.17 | seconds power is 4 | number of threads is 16
elapsed time = 0.22 | seconds power is 5 | number of threads is 16
elapsed time = 0.27 | seconds power is 6 | number of threads is 16
elapsed time = 0.32 | seconds power is 7 | number of threads is 16
elapsed time = 0.37 | seconds power is 8 | number of threads is 16
elapsed time = 0.42 | seconds power is 9 | number of threads is 16
elapsed time = 0.47 | seconds power is 10 | number of threads is 16
elapsed time = 0.52 | seconds power is 11 | number of threads is 16
elapsed time = 0.57 | seconds power is 12 | number of threads is 16
elapsed time = 0.62 | seconds power is 13 | number of threads is 16
elapsed time = 0.67 | seconds power is 14 | number of threads is 16
elapsed time = 0.72 | seconds power is 15 | number of threads is 16
elapsed time = 0.76 | seconds power is 16 | number of threads is 16
512 16 thread done
